f.name,id,,f.size,AnimalID,LabID,Location,Broad,Use for vcf,Sex,Haplotype,cov.mean,X
z0102219_Pcra_RunH106L6_n0002037.fastq.gz.bam,z0102219,,"38,018,384.00",102219,102219,NWHI,NWHI,,F,1,176.5300146,
z0102434_Pcra_RunH106L6_n0002026.fastq.gz.bam,z0102434,,"37,076,983.00",102434,102434,NWHI,NWHI,,M,1,39.58388238,
z0102435_Pcra_RunH106L6_n0002027.fastq.gz.bam,z0102435,,"35,332,013.00",102435,102435,NWHI,NWHI,,M,1,194.5384334,
z0114945_Pcra_RunH119L8nuc_n0002420.fastq.gz.bam,z0114945,,"33,812,172.00",114945,114945,NWHI,NWHI,,F,9,NA,
z0102227_Pcra_RunH106L6_n0002041.fastq.gz.bam,z0102227,,"25,287,761.00",102227,102227,NWHI,NWHI,,M,1,15.11639824,
z0102437_Pcra_RunH106L6_n0002028.fastq.gz.bam,z0102437,,"14,958,156.00",102437,102437,NWHI,NWHI,,M,1,195.6498292,xl
z0102431_Pcra_RunH106L6_n0002024.fastq.gz.bam,z0102431,,"14,565,693.00",102431,102431,NWHI,NWHI,,M,1,19.02586628,
z0102432_Pcra_RunH119L8nuc_n0002379.fastq.gz.bam,z0102432,,"13,535,395.00",102229,102432,NWHI,NWHI,,F,31,195.6944851,l
z0079765_Pcra_RunH119L8nuc_n0002356.fastq.gz.bam,z0079765,0,"191,168,983.00",79765,79765,AmSamoa,Spac,,F,17,186.613287,
z0074710_Pcra_RunH106L6_n0002016.fastq.gz.bam,z0074710,0,"186,732,057.00",74710,74710,AmSamoa,Spac,,F,26,84.2817838,
z0125877_Pcra_RunH119L8nuc_n0002401.fastq.gz.bam,z0125877,0,"123,652,519.00",125877,125877,AmSamoa,Spac,,M,26,186.1621523,
z0079765_Pcra_RunH106L6_n0002017.fastq.gz.bam,z0079765,0,"94,878,190.00",79765,79765,AmSamoa,Spac,,F,17,186.613287,
z0125878_Pcra_RunH119L8nuc_n0002402.fastq.gz.bam,z0125878,0,"74,765,167.00",125878,125878,AmSamoa,Spac,,F,32,185.8988531,
z0045817_Pcra_RunH106L6_n0001984.fastq.gz.bam,z0045817,0,"52,632,630.00",45817,45817,AmSamoa,Spac,,F,17,41.82460957,
z0013844_Pcra_RunH106L6_n0001970.fastq.gz.bam,z0013844,0,"133,979,199.00",13844,13844,Korean market,Wpac,,U,NA,83.50878477,
z0017139_Pcra_RunH119L8nuc_n0002385.fastq.gz.bam,z0017139,,"22,223,542.00",17139,17139,HongKong,Wpac,,U,19,123.3148487,X
z0117297_Pcra_RunH119L8nuc_n0002339.fastq.gz.bam,z0117297,0,"177,288,269.00",NA,NA,NA,,,NA,NA,NA,NA
z0117293_Pcra_RunH119L8nuc_n0002434.fastq.gz.bam,z0117293,0,"124,954,268.00",NA,NA,NA,,,NA,NA,NA,NA
z0117296_Pcra_RunH119L8nuc_n0002435.fastq.gz.bam,z0117296,0,"91,403,885.00",NA,NA,NA,,,NA,NA,NA,NA
