f.name,id,,f.size,AnimalID,LabID,Location,Broad,Use for vcf,Sex,Haplotype,cov.mean,X
z0041854_Pcra_RunH119L8nuc_n0002390.fastq.gz.bam,z0041854,0,"157,716,895.00",41854,41854,CNPLongLine,CNP,,M,9,191.3325403,
z0041855_Pcra_RunH119L8nuc_n0002388.fastq.gz.bam,z0041855,0,"149,393,739.00",41855,41855,CNPLongLine,CNP,,M,9,190.2467057,
z0094784_Pcra_RunH119L8nuc_n0002357.fastq.gz.bam,z0094784,0,"120,588,953.00",94784,94784,CNPLongLine,CNP,,M,9,186.3874451,
z0108157_Pcra_RunH119L8nuc_n0002382.fastq.gz.bam,z0108157,0,"120,205,122.00",108157,108157,Palm,CNP,,F,6,191.4740727,
z0049097_Pcra_RunH119L8nuc_n0002348.fastq.gz.bam,z0049097,0,"118,828,020.00",49097,49097,CNPLongLine,CNP,,F,6,185.6038311,
z0108158_Pcra_RunH119L8nuc_n0002370.fastq.gz.bam,z0108158,0,"111,084,685.00",108158,108158,Palm,CNP,,M,33,191.5384334,
z0123192_Pcra_RunH119L8nuc_n0002369.fastq.gz.bam,z0123192,0,"110,050,891.00",123192,123192,HIPel,CNP,,F,32,196.0702172,l
z0073895_Pcra_RunH106L6_n0002015.fastq.gz.bam,z0073895,0,"103,043,501.00",73895,73895,HIPel,CNP,,F,25,184.6783797,x
z0102216_Pcra_RunH106L6_n0002036.fastq.gz.bam,z0102216,0,"99,703,867.00",102216,102216,Pelagic,CNP,,F,26,56.36072474,
z0102208_Pcra_RunH106L6_n0002022.fastq.gz.bam,z0102208,0,"94,099,825.00",102208,102208,Pelagic,CNP,,F,9,134.9080039,
z0073895_Pcra_RunH119L8nuc_n0002355.fastq.gz.bam,z0073895,0,"90,739,049.00",73895,73895,HIPel,CNP,,F,25,184.6783797,x
z0102213_Pcra_RunH106L6_n0002023.fastq.gz.bam,z0102213,0,"78,075,057.00",102213,102213,Pelagic,CNP,,F,30,151.8311371,
z0049059_Pcra_RunH106L6_n0001989.fastq.gz.bam,z0049059,0,"73,568,090.00",49059,49059,Palm,CNP,,F,9,80.16550756,
z0094784_Pcra_RunH106L6_n0002018.fastq.gz.bam,z0094784,0,"68,533,037.00",94784,94784,CNPLongLine,CNP,,M,9,186.3874451,
z0073897_Pcra_RunH106L6_n0001997.fastq.gz.bam,z0073897,0,"67,962,834.00",73897,73897,HIPel,CNP,,M,9,81.9715715,
z0102208_Pcra_RunH119L8nuc_n0002361.fastq.gz.bam,z0102208,0,"66,629,012.00",102208,102208,Pelagic,CNP,,F,9,134.9080039,
z0108157_Pcra_RunH106L6_n0002044.fastq.gz.bam,z0108157,0,"62,989,698.00",108157,108157,Palm,CNP,,F,6,191.4740727,
z0102213_Pcra_RunH119L8nuc_n0002362.fastq.gz.bam,z0102213,0,"60,291,450.00",102213,102213,Pelagic,CNP,,F,30,151.8311371,
z0102210_Pcra_RunH106L6_n0002035.fastq.gz.bam,z0102210,,"26,662,595.00",102210,102210,Pelagic,CNP,,M,9,12.71284773,
z0123192_Pcra_RunH106L6_n0002030.fastq.gz.bam,z0123192,,"14,175,225.00",123192,123192,HIPel,CNP,,F,32,196.0702172,l
z0123190_Pcra_RunH106L6_n0002029.fastq.gz.bam,z0123190,,"13,584,193.00",123190,123190,HIPel,CNP,,F,32,24.58449244,
z0049097_Pcra_RunH106L6_n0001990.fastq.gz.bam,z0049097,,"11,254,459.00",49097,49097,CNPLongLine,CNP,,F,6,185.6038311,
z0108158_Pcra_RunH106L6_n0002031.fastq.gz.bam,z0108158,,"10,036,236.00",108158,108158,Palm,CNP,,M,33,191.5384334,
z0102212_Pcra_RunH119L8nuc_n0002374.fastq.gz.bam,z0102212,,"186,425.00",102212,102212,Pelagic,CNP,,F,30,183.5389214,
z0114342_Pcra_RunH106L6_n0002005.fastq.gz.bam,z0114342,0,"99,386,424.00",114342,114342,Gabon,Eatl,,,NA,45.82656174,
