,Sample,tot.reads
160,z0114888_Pcra_RunH119L8nuc_n0002406.fastq.gz,1434206
6,z0009883_Pcra_RunH106L6_n0002046.fastq.gz,1428378
140,z0108158_Pcra_RunH119L8nuc_n0002370.fastq.gz,1404677
184,z0123192_Pcra_RunH119L8nuc_n0002369.fastq.gz,1399976
25,z0018955_Pcra_RunH106L6_n0001963.fastq.gz,1396870
144,z0114342_Pcra_RunH119L8nuc_n0002351.fastq.gz,1390058
98,z0098744_Pcra_RunH106L6_n0002020.fastq.gz,1373873
111,z0102225_Pcra_RunH106L6_n0002039.fastq.gz,1373628
68,z0073895_Pcra_RunH106L6_n0002015.fastq.gz,1358844
76,z0079765_Pcra_RunH106L6_n0002017.fastq.gz,1353938
101,z0102208_Pcra_RunH106L6_n0002022.fastq.gz,1343603
107,z0102216_Pcra_RunH106L6_n0002036.fastq.gz,1339702
116,z0102227_Pcra_RunH119L8nuc_n0002378.fastq.gz,1336918
149,z0114825_Pcra_RunH119L8nuc_n0002412.fastq.gz,1325884
51,z0045928_Pcra_RunH119L8nuc_n0002392.fastq.gz,1295990
143,z0114342_Pcra_RunH106L6_n0002005.fastq.gz,1285140
120,z0102433_Pcra_RunH106L6_n0002025.fastq.gz,1280105
142,z0114341_Pcra_RunH119L8nuc_n0002350.fastq.gz,1275409
84,z0092254_Pcra_RunH106L6_n0002012.fastq.gz,1270897
112,z0102225_Pcra_RunH119L8nuc_n0002376.fastq.gz,1197982
127,z0102437_Pcra_RunH119L8nuc_n0002367.fastq.gz,1186497
69,z0073895_Pcra_RunH119L8nuc_n0002355.fastq.gz,1147022
179,z0117296_Pcra_RunH119L8nuc_n0002435.fastq.gz,1145306
97,z0098743_Pcra_RunH106L6_n0002002.fastq.gz,1129962
105,z0102213_Pcra_RunH106L6_n0002023.fastq.gz,1123571
43,z0033906_Pcra_RunH106L6_n0002050.fastq.gz,1103702
2,z0004522_Pcra_RunH106L6_n0001951.fastq.gz,1097270
121,z0102433_Pcra_RunH119L8nuc_n0002364.fastq.gz,1086847
141,z0114341_Pcra_RunH106L6_n0002004.fastq.gz,1065320
165,z0114957_Pcra_RunH119L8nuc_n0002421.fastq.gz,1014581
79,z0091081_Pcra_RunH106L6_n0002003.fastq.gz,1010768
193,z0132636_Pcra_RunH119L8nuc_n0002373.fastq.gz,1006036
12,z0016143_Pcra_RunH106L6_n0001958.fastq.gz,998300
89,z0094784_Pcra_RunH106L6_n0002018.fastq.gz,983824
113,z0102226_Pcra_RunH106L6_n0002040.fastq.gz,964504
30,z0027510_Pcra_RunH106L6_n0001978.fastq.gz,960153
146,z0114824_Pcra_RunH106L6_n0001953.fastq.gz,955704
72,z0075660_Pcra_RunH119L8nuc_n0002394.fastq.gz,951821
186,z0125878_Pcra_RunH119L8nuc_n0002402.fastq.gz,946514
56,z0049059_Pcra_RunH106L6_n0001989.fastq.gz,945915
14,z0016148_Pcra_RunH119L8nuc_n0002341.fastq.gz,921501
39,z0033899_Pcra_RunH119L8nuc_n0002386.fastq.gz,914780
109,z0102219_Pcra_RunH119L8nuc_n0002375.fastq.gz,880973
137,z0108157_Pcra_RunH106L6_n0002044.fastq.gz,872428
70,z0073897_Pcra_RunH106L6_n0001997.fastq.gz,860637
93,z0098735_Pcra_RunH119L8nuc_n0002359.fastq.gz,856955
156,z0114842_Pcra_RunH119L8nuc_n0002416.fastq.gz,850967
102,z0102208_Pcra_RunH119L8nuc_n0002361.fastq.gz,843719
125,z0102435_Pcra_RunH119L8nuc_n0002366.fastq.gz,793363
151,z0114839_Pcra_RunH119L8nuc_n0002414.fastq.gz,777687
148,z0114824_Pcra_RunH106L6_n0001967.fastq.gz,767147
106,z0102213_Pcra_RunH119L8nuc_n0002362.fastq.gz,761415
154,z0114840_Pcra_RunH106L6_n0001968.fastq.gz,742270
83,z0091284_Pcra_RunH119L8nuc_n0002397.fastq.gz,722014
64,z0072692_Pcra_RunH106L6_n0001996.fastq.gz,704542
48,z0045817_Pcra_RunH106L6_n0001984.fastq.gz,684449
172,z0116591_Pcra_RunH119L8nuc_n0002429.fastq.gz,637216
96,z0098738_Pcra_RunH119L8nuc_n0002358.fastq.gz,614733
169,z0116582_Pcra_RunH119L8nuc_n0002426.fastq.gz,610077
99,z0098745_Pcra_RunH106L6_n0002021.fastq.gz,577149
122,z0102434_Pcra_RunH106L6_n0002026.fastq.gz,561124
170,z0116585_Pcra_RunH119L8nuc_n0002427.fastq.gz,559549
108,z0102219_Pcra_RunH106L6_n0002037.fastq.gz,542537
171,z0116588_Pcra_RunH119L8nuc_n0002428.fastq.gz,533620
124,z0102435_Pcra_RunH106L6_n0002027.fastq.gz,511798
168,z0116580_Pcra_RunH119L8nuc_n0002425.fastq.gz,504687
176,z0116974_Pcra_RunH119L8nuc_n0002432.fastq.gz,438447
66,z0072696_Pcra_RunH106L6_n0002014.fastq.gz,429834
175,z0116972_Pcra_RunH119L8nuc_n0002431.fastq.gz,426539
164,z0114945_Pcra_RunH119L8nuc_n0002420.fastq.gz,424016
92,z0098734_Pcra_RunH119L8nuc_n0002352.fastq.gz,423968
103,z0102210_Pcra_RunH106L6_n0002035.fastq.gz,410476
115,z0102227_Pcra_RunH106L6_n0002041.fastq.gz,398617
190,z0132635_Pcra_RunH106L6_n0002033.fastq.gz,392110
167,z0116577_Pcra_RunH119L8nuc_n0002424.fastq.gz,387145
100,z0098745_Pcra_RunH119L8nuc_n0002360.fastq.gz,362784
134,z0108133_Pcra_RunH119L8nuc_n0002381.fastq.gz,335416
150,z0114834_Pcra_RunH119L8nuc_n0002413.fastq.gz,327938
187,z0132631_Pcra_RunH106L6_n0002032.fastq.gz,314166
36,z0033898_Pcra_RunH106L6_n0001980.fastq.gz,310468.75
13,z0016148_Pcra_RunH106L6_n0001971.fastq.gz,278984
15,z0017139_Pcra_RunH119L8nuc_n0002385.fastq.gz,278497
147,z0114824_Pcra_RunH106L6_n0001960.fastq.gz,276725
8,z0011648_Pcra_RunH106L6_n0001969.fastq.gz,268052
192,z0132636_Pcra_RunH106L6_n0002034.fastq.gz,241509
126,z0102437_Pcra_RunH106L6_n0002028.fastq.gz,214412
117,z0102431_Pcra_RunH106L6_n0002024.fastq.gz,213783
183,z0123192_Pcra_RunH106L6_n0002030.fastq.gz,208673
33,z0033885_Pcra_RunH106L6_n0001979.fastq.gz,207065.75
91,z0098734_Pcra_RunH106L6_n0002011.fastq.gz,202304
38,z0033899_Pcra_RunH106L6_n0002048.fastq.gz,201916
181,z0123190_Pcra_RunH106L6_n0002029.fastq.gz,199099
173,z0116592_Pcra_RunH119L8nuc_n0002423.fastq.gz,174187
119,z0102432_Pcra_RunH119L8nuc_n0002379.fastq.gz,170122
57,z0049097_Pcra_RunH106L6_n0001990.fastq.gz,164487
128,z0102485_Pcra_RunH106L6_n0002042.fastq.gz,152298
95,z0098738_Pcra_RunH106L6_n0002019.fastq.gz,151675
139,z0108158_Pcra_RunH106L6_n0002031.fastq.gz,147498
153,z0114840_Pcra_RunH106L6_n0001961.fastq.gz,126656
3,z0007397_Pcra_RunH119L8nuc_n0002383.fastq.gz,123114
157,z0114885_Pcra_RunH119L8nuc_n0002403.fastq.gz,119408
152,z0114840_Pcra_RunH106L6_n0001954.fastq.gz,75188
163,z0114891_Pcra_RunH119L8nuc_n0002409.fastq.gz,54847
133,z0108133_Pcra_RunH106L6_n0002043.fastq.gz,34041
166,z0116505_Pcra_RunH119L8nuc_n0002422.fastq.gz,20224
73,z0075663_Pcra_RunH119L8nuc_n0002395.fastq.gz,15003
104,z0102212_Pcra_RunH119L8nuc_n0002374.fastq.gz,2239.25
53,z0049052_Pcra_RunH119L8nuc_n0002393.fastq.gz,1477
189,z0132632_Pcra_RunH119L8nuc_n0002400.fastq.gz,957
88,z0093156_Pcra_RunH119L8nuc_n0002391.fastq.gz,584
