"","Atl-North","Atl-South","CNP","Epac","Indian_Ocean","MHI","NWHI","Spac","Wpac"
"Atl-North",NA,1e-04,1e-04,1e-04,8e-04,1e-04,1e-04,3e-04,1e-04
"Atl-South",0.748142412524469,NA,0.0083,1e-04,0.0035,1e-04,1e-04,0.2917,2e-04
"CNP",0.847526061535469,0.2627345331276,NA,0.0227,0.0901,1e-04,1e-04,0.013,0.2734
"Epac",0.841122869733935,0.66050996139471,0.096347787662401,NA,1e-04,1e-04,1e-04,1e-04,0.0041
"Indian_Ocean",0.751525614259627,0.45507212905538,0.085932135096234,0.48180973327866,NA,2e-04,1e-04,0.0288,0.0762
"MHI",0.892004175613273,0.67225097882821,0.456666754175477,0.721533784417351,0.457192097536805,NA,0.125,1e-04,1e-04
"NWHI",0.791375117992668,0.818059048659191,0.358263996257701,0.739255497941453,0.66753321329688,0.0755447135529865,NA,1e-04,1e-04
"Spac",0.755968291365358,0.0638008716594241,0.217631250987065,0.552090945900594,0.185402981612411,0.604277196825229,0.548228039413494,NA,2e-04
"Wpac",0.763450369180178,0.456028812474698,0.0155918207561264,0.264484458434481,0.141143382160235,0.63860185648528,0.693255688536207,0.287379004696264,NA
