"","strata.1","strata.2","label","n.1","n.2","CHIsq","CHIsq_p.val","Fst","Fst_p.val","PHIst","PHIst_p.val","dA","mean"
"36","MHI","NWHI","MHI (43) v. NWHI (13)",43,13,12.6360779384035,0.1154,0.0596288237628075,0.0758,0.0755566331376179,0.1134,2.49796059261417e-05,0.000145213250900958
"37","MHI","Spac","MHI (43) v. Spac (8)",43,8,51,1e-04,0.29656404656471,2e-04,0.604207394465345,1e-04,0.000316765262563165,0.000773539897427867
"38","MHI","Unknown","MHI (43) v. Unknown (4)",43,4,47,7e-04,0.283799840881147,0.0082,0.576157851605317,7e-04,0.000207717083663919,0.000615911424095101
"39","MHI","Wpac","MHI (43) v. Wpac (6)",43,6,49,1e-04,0.3143995114755,0.0012,0.693274065619141,1e-04,0.00034595481720369,0.000683289955715252
"40","NWHI","Spac","NWHI (13) v. Spac (8)",13,8,21,1e-04,0.449855542391553,2e-04,0.548137300854751,1e-04,0.000383090727227114,0.000729107185499361
"41","NWHI","Unknown","NWHI (13) v. Unknown (4)",13,4,17,0.0062,0.489312536106297,0.0062,0.742172095629719,4e-04,0.000277306443029834,0.000574742606868562
"42","NWHI","Wpac","NWHI (13) v. Wpac (6)",13,6,19,2e-04,0.490846462971232,4e-04,0.816303832427573,2e-04,0.000415044341168355,0.000641621303087461
"43","Spac","Unknown","Spac (8) v. Unknown (4)",8,4,12,0.241,0.0618066561014263,0.2664,0.133112517247919,0.1372,0.000109495436758797,0.000743472590487411
"44","Spac","Wpac","Spac (8) v. Wpac (6)",8,6,14,0.0104,0.119456882854254,0.0221,0.336441040215417,7e-04,0.000225412099262801,0.000788530051071794
"45","Unknown","Wpac","Unknown (4) v. Wpac (6)",4,6,10,0.216,0.0736842105263158,0.222,0.241372696808883,0.0545,7.08966125958949e-05,0.000585434269971368
