0	0.793345518473639	1578.307804	0.011432	0.000654
4405.63153061225	0.793345518473639	1688.463734	0.012230	0.011473
9176.17933673469	0.793345518473639	1804.516787	0.013071	0.018242
14340.9432653061	0.793345518473639	1926.476193	0.013954	0.011301
19932.9522346939	7.47782591719813	219.497779	0.001590	0.001160
25987.3660612245	7.47782591719813	237.250821	0.001719	0.001331
32542.5409081633	5.50376537733843	348.246063	0.002523	0.002079
39639.4965612245	5.50376537733843	376.025183	0.002724	0.002362
47324.0473265306	3.70700442642432	602.220648	0.004362	0.003894
55643.6056836735	3.70700442642432	648.922668	0.004700	0.004305
64651.4440816327	2.40029118446003	1077.881254	0.007808	0.007308
74404.0313163265	2.40029118446003	1156.916130	0.008380	0.008014
84963.6961530612	1.66114594345238	1789.037900	0.012959	0.012523
96396.4964285714	1.66114594345238	1908.547943	0.013825	0.013479
108774.882673469	1.28801239268707	2616.307115	0.018951	0.018544
122176.632663265	1.28801239268707	2769.898539	0.020064	0.019780
136686.982316327	1.11008241309524	3389.367398	0.024551	0.024329
152397.560244898	1.11008241309524	3559.392434	0.025782	0.025693
169407.453204082	1.06000631105442	3901.499502	0.028261	0.028284
187823.738816327	1.06000631105442	4068.819664	0.029472	0.029531
207763.616469388	1.08221426322279	4145.173757	0.030026	0.030161
229352.809142857	1.08221426322279	4299.034601	0.031140	0.031220
252727.161581633	1.12446597431973	4279.723132	0.031000	0.031121
278034.238469388	1.12446597431973	4414.223698	0.031974	0.032019
305434.922602041	1.14579937045068	4452.552823	0.032252	0.032332
335101.816714286	1.14579937045068	4559.130084	0.033024	0.033075
367221.907102041	1.12516517521259	4729.268642	0.034256	0.034362
401998.694520408	1.12516517521259	4790.378341	0.034699	0.034865
439651.661459184	1.06585629185799	5083.595654	0.036823	0.037087
480418.403040816	1.06585629185799	5068.364346	0.036713	0.037130
524557.290642857	0.987947554910714	5395.050529	0.039079	0.039643
572346.40644898	0.987947554910714	5262.599708	0.038120	0.038889
624087.805244898	0.914478188711735	5472.713236	0.039642	0.040566
680108.047142857	0.914478188711735	5191.880335	0.037607	0.038707
740761.926653061	0.863056957334184	5139.871073	0.037231	0.038415
806431.939959184	0.863056957334184	4722.546122	0.034208	0.035459
877533.612163265	0.845312792453231	4362.269870	0.031598	0.032801
954515.497285714	0.845312792453231	3880.726568	0.028110	0.029252
1037863.97278571	0.869255428741497	3312.985537	0.023998	0.024979
1128105.37045918	0.869255428741497	2867.538876	0.020771	0.021619
1225810.77095918	0.942445114583333	2268.638212	0.016433	0.017091
1331596.53652041	0.942445114583333	1928.464898	0.013969	0.014497
1446131.23637755	1.07448198922194	1432.330654	0.010375	0.010756
1570138.31038776	1.07448198922194	1209.500346	0.008761	0.009054
1704401.929	1.27922687797619	858.782872	0.006221	0.006425
1849769.12415306	1.27922687797619	728.141280	0.005274	0.005432
2007158.84559184	1.57717302606293	503.222785	0.003645	0.003755
2177565.68993878	1.57717302606293	431.980727	0.003129	0.003217
2362065.76066327	1.99539504583333	295.280832	0.002139	0.002201
2561825.19167347	1.99539504583333	257.949164	0.001868	0.001922
2778105.47456122	2.56232377740221	176.951501	0.001282	0.001319
3012272.51491837	2.56232377740221	157.583505	0.001141	0.001174
3265806.75410204	3.29210749534439	110.080325	0.000797	0.000820
3540309.02920408	3.29210749534439	99.788430	0.000723	0.000742
3837514.42388775	4.41374448065476	68.179204	0.000494	0.000505
4159299.19380612	4.41374448065476	63.254357	0.000458	0.000468
4507697.81378571	4.41374448065476	57.940443	0.000420	0.000428
4884909.9032449	4.41374448065476	52.344048	0.000379	0.000386
